ID,Institute Name,State,Category,Rank Range,Course,Quota,Fee,Beds,Round,Type
237,"Hamdard Institute, Delhi",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹16,00,000",-,3,Deemed
238,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
239,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
240,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
241,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
242,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
243,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
244,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
245,"Symbiosis Medical CollegeegeWomen, Pune",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,00,000",-,3,Deemed
246,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
247,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
248,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
249,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
250,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
251,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
252,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
253,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
254,"Symbiosis Medical CollegeegeWomen, Pune",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,00,000",-,3,Deemed
255,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
256,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
257,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
258,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
259,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
260,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
261,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
262,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
263,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
264,"Kasturba Medical College, Manipal",Karnataka,Open,10001 - 20000,MBBS,DEEMED PS,"₹10,99,000",-,3,Deemed
265,"Kasturba Medical College, Manipal",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹10,99,000",-,4,Deemed
266,Amrita School of Med. Faridabad,Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
267,"Symbiosis Medical CollegeegeWomen, Pune",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹10,00,000",-,4,Deemed
268,"SRMC & RI, Chennai",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹30,00,000",-,4,Deemed
269,"DY Patil, Navi Mumbai",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹23,10,000",-,4,Deemed
270,"Kasturba Medical College, Mangalore",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹10,99,000",-,4,Deemed
271,"Hamdard Institute, Delhi",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹16,00,000",-,4,Deemed
272,"Manipal Tata Medical College,Jamshedpur",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹12,10,000",-,4,Deemed
273,"MMIMS, Mullana, Ambala",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹18,00,000",-,4,Deemed
274,"SRMC & RI, Chennai",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹30,00,000",-,4,Deemed
275,"Manipal Tata Medical College,Jamshedpur",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹12,10,000",-,4,Deemed
276,"GITAM IMS, Vizag",Karnataka,Open,20001 - 35000,MBBS,DEEMED PS,"₹25,37,000",-,4,Deemed
277,"Symbiosis Medical CollegeegeWomen, Pune",Maharashtra,Open,35001 - 50000,MBBS,DEEMED PS,"₹10,00,000",-,4,Deemed
278,"Kasturba Medical College, Manipal",Karnataka,Open,35001 - 50000,MBBS,DEEMED PS,"₹10,99,000",-,4,Deemed
279,"Hamdard Institute, Delhi",Delhi,Open,35001 - 50000,MBBS,DEEMED PS,"₹16,00,000",-,4,Deemed
280,"JSS Medical College, Mysore",Karnataka,Open,35001 - 50000,MBBS,DEEMED PS,-,-,4,Deemed
281,"Manipal Tata Medical College,Jamshedpur",Jharkhand,Open,35001 - 50000,MBBS,DEEMED PS,"₹12,10,000",-,4,Deemed
282,"Kalinga IMS, Bhubaneswar",Odisha,Open,35001 - 50000,MBBS,DEEMED PS,-,-,4,Deemed
283,"Kasturba Medical College, Mangalore",Karnataka,Open,35001 - 50000,MBBS,DEEMED PS,"₹10,99,000",-,4,Deemed
284,"Meenakshi Medical College, Enathur",Tamil Nadu,Open,35001 - 50000,MBBS,DEEMED PS,"₹19,50,000",-,4,Deemed
285,"IMS & SUM, Bhubaneswar",Odisha,Open,35001 - 50000,MBBS,DEEMED PS,"₹19,95,000",-,4,Deemed
286,"MMIMS, Mullana, Ambala",Haryana,Open,35001 - 50000,MBBS,DEEMED PS,"₹18,00,000",-,4,Deemed
287,"GITAM IMS, Vizag",Andhra Pradesh,Open,35001 - 50000,MBBS,DEEMED PS,"₹25,37,000",-,4,Deemed
288,"SRMC & RI, Chennai",Tamil Nadu,Open,35001 - 50000,MBBS,DEEMED PS,"₹30,00,000",-,4,Deemed
289,"KS Hegde, Mangalore",Karnataka,Open,35001 - 50000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
290,"Kasturba Medical College, Mangalore",Karnataka,Open,50001 - 75000,MBBS,DEEMED PS,"₹10,99,000",-,4,Deemed
291,"Symbiosis Medical CollegeegeWomen, Pune",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹10,00,000",-,4,Deemed
292,"Hamdard Institute, Delhi",Delhi,Open,50001 - 75000,MBBS,DEEMED PS,"₹16,00,000",-,4,Deemed
293,"SRMC & RI, Chennai",Tamil Nadu,Open,50001 - 75000,MBBS,DEEMED PS,"₹30,00,000",-,4,Deemed
294,"BVDU, Pune",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹23,60,000",-,4,Deemed
295,"IMS & SUM, Bhubaneswar",Odisha,Open,50001 - 75000,MBBS,DEEMED PS,"₹19,95,000",-,4,Deemed
296,"MGM Medical College, Navi Mumbai",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
297,"GITAM IMS, Vizag",Andhra Pradesh,Open,50001 - 75000,MBBS,DEEMED PS,"₹25,37,000",-,4,Deemed
298,"JSS Medical College, Mysore",Karnataka,Open,50001 - 75000,MBBS,DEEMED PS,-,-,4,Deemed
299,"Amrita School of Med, Kochi",Kerala,Open,50001 - 75000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
300,"Manipal Tata Medical College,Jamshedpur",Jharkhand,Open,50001 - 75000,MBBS,DEEMED PS,"₹12,10,000",-,4,Deemed
301,"JN Medical College, Belgaum",Karnataka,Open,50001 - 75000,MBBS,DEEMED PS,"₹19,20,000",-,4,Deemed
302,"GITAM IMS, Vizag",Andhra Pradesh,Open,50001 - 75000,MBBS,DEEMED PS,"₹25,37,000",-,4,Deemed
303,"Kalinga IMS, Bhubaneswar",Odisha,Open,50001 - 75000,MBBS,DEEMED PS,-,-,4,Deemed
304,"IMS & SH, Campus II, Phulnakhara",Odisha,Open,50001 - 75000,MBBS,DEEMED PS,-,-,4,Deemed
305,"SRMC & RI, Chennai",Tamil Nadu,Open,50001 - 75000,MBBS,DEEMED PS,"₹30,00,000",-,4,Deemed
306,"Rural Medical College, LONI",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
307,"JN Medical College, Belgaum",Karnataka,Open,50001 - 75000,MBBS,DEEMED PS,"₹19,20,000",-,4,Deemed
308,"DY Patil, Pimpri, Pune",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹26,50,000",-,4,Deemed
309,"KS Hegde, Mangalore",Karnataka,Open,50001 - 75000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
310,Amrita School of Med. Faridabad,Haryana,Open,50001 - 75000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
311,"Rural Medical College, LONI",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
312,"MMIMS, Mullana, Ambala",Haryana,Open,50001 - 75000,MBBS,DEEMED PS,"₹18,00,000",-,4,Deemed
313,"MGM Medical College, Aurangabad",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
314,"SBKS, Vadadora",Gujarat,Open,50001 - 75000,MBBS,JAIN MIN,"₹18,75,000",-,4,Deemed
315,"Amrita School of Med, Kochi",Kerala,Open,50001 - 75000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
316,"IMS & SH, Campus II, Phulnakhara",Odisha,Open,50001 - 75000,MBBS,DEEMED PS,-,-,4,Deemed
317,"DY Patil, Pimpri, Pune",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹26,50,000",-,4,Deemed
318,Mahatma Gandhi Mission Vashi,Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
319,"Yenepoya Medical College, Mangalore",Karnataka,Open,50001 - 75000,MBBS,DEEMED PS,"₹22,22,223",-,4,Deemed
320,"Datta Meghe Medical College, Nagpur",Maharashtra,Open,50001 - 75000,MBBS,DEEMED PS,"₹22,00,000",-,4,Deemed
321,"JN Medical College, Belgaum",Karnataka,Open,75001 - 100000,MBBS,DEEMED PS,"₹19,20,000",-,4,Deemed
322,"JN Medical Collegeege, Meghe, Wardha",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹20,75,000",-,4,Deemed
323,"JSS Medical College, Mysore",Karnataka,Open,75001 - 100000,MBBS,DEEMED PS,-,-,4,Deemed
324,"Manipal Tata Medical College,Jamshedpur",Jharkhand,Open,75001 - 100000,MBBS,DEEMED PS,"₹12,10,000",-,4,Deemed
325,"Hamdard Institute, Delhi",Delhi,Open,75001 - 100000,MBBS,MUSLIM MIN,"₹16,00,000",-,4,Deemed
326,"KS Hegde, Mangalore",Karnataka,Open,75001 - 100000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
327,"Amrita School of Med, Kochi",Kerala,Open,75001 - 100000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
328,"SDU Medical College, Kolar",Karnataka,Open,75001 - 100000,MBBS,DEEMED PS,"₹17,60,000",-,4,Deemed
329,"MGM Medical College, Navi Mumbai",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
330,"SRMC & RI, Chennai",Tamil Nadu,Open,75001 - 100000,MBBS,DEEMED PS,"₹30,00,000",-,4,Deemed
331,"IMS & SH, Campus II, Phulnakhara",Odisha,Open,75001 - 100000,MBBS,DEEMED PS,-,-,4,Deemed
332,"Rural Medical College, LONI",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
333,"MMIMS, Mullana, Ambala",Haryana,Open,75001 - 100000,MBBS,DEEMED PS,"₹18,00,000",-,4,Deemed
334,"IMS & SUM, Bhubaneswar",Odisha,Open,75001 - 100000,MBBS,DEEMED PS,"₹19,95,000",-,4,Deemed
335,"Kalinga IMS, Bhubaneswar",Odisha,Open,75001 - 100000,MBBS,DEEMED PS,-,-,4,Deemed
336,"SBKS, Vadadora",Gujarat,Open,75001 - 100000,MBBS,DEEMED PS,"₹18,75,000",-,4,Deemed
337,"Chettinad Hospital&RI,Kanchipuram",Tamil Nadu,Open,75001 - 100000,MBBS,DEEMED PS,"₹24,50,000",-,4,Deemed
338,"Saveetha, Kanchipuram",Tamil Nadu,Open,75001 - 100000,MBBS,DEEMED PS,"₹24,75,000",-,4,Deemed
339,"BVDU, Pune",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹23,60,000",-,4,Deemed
340,"MGM Medical College, Aurangabad",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
341,Amrita School of Med. Faridabad,Haryana,Open,75001 - 100000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
342,Mahatma Gandhi Mission Vashi,Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
343,"BVDU, Sangli",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹22,10,000",-,4,Deemed
344,"Saveetha, Kanchipuram",Tamil Nadu,Open,75001 - 100000,MBBS,DEEMED PS,"₹24,75,000",-,4,Deemed
345,"DY Patil, Kolhapur",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹23,10,000",-,4,Deemed
346,"SDU Medical College, Kolar",Karnataka,Open,75001 - 100000,MBBS,DEEMED PS,"₹17,60,000",-,4,Deemed
347,"MGM Medical College, Aurangabad",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
348,"SRMC & RI, Chennai",Tamil Nadu,Open,75001 - 100000,MBBS,DEEMED PS,"₹30,00,000",-,4,Deemed
349,"BVDU, Pune",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,"₹23,60,000",-,4,Deemed
350,"MGM Medical College, Nerul",Maharashtra,Open,75001 - 100000,MBBS,DEEMED PS,-,-,4,Deemed
351,"Graphic Era IMS, Dehradun",Uttarakhand,Open,75001 - 100000,MBBS,DEEMED PS,-,-,4,Deemed
352,"Amrita School of Med, Kochi",Kerala,Open,75001 - 100000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
353,"Rural Medical College, LONI",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
354,"JSS Medical College, Mysore",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
355,"Rajeshwari, Bangalore",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,00,000",-,4,Deemed
356,"JN Medical College, Belgaum",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,"₹19,20,000",-,4,Deemed
357,"Hamdard Institute, Delhi",Delhi,Open,100001 - 150000,MBBS,MUSLIM MIN,"₹16,00,000",-,4,Deemed
358,Mahatma Gandhi Mission Vashi,Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
359,"IMS & SH, Campus II, Phulnakhara",Odisha,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
360,"MGM Medical College, Aurangabad",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
361,"BVDU, Pune",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,60,000",-,4,Deemed
362,"SRMC & RI, Chennai",Tamil Nadu,Open,100001 - 150000,MBBS,DEEMED PS,"₹30,00,000",-,4,Deemed
363,"Kalinga IMS, Bhubaneswar",Odisha,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
364,"KS Hegde, Mangalore",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
365,"Saveetha, Kanchipuram",Tamil Nadu,Open,100001 - 150000,MBBS,DEEMED PS,"₹24,75,000",-,4,Deemed
366,"Krishna IMS, Karad",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,00,000",-,4,Deemed
367,"Jagadguru Gangadhar, Hubli",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,"₹17,60,000",-,4,Deemed
368,"Datta Meghe Medical College, Nagpur",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹22,00,000",-,4,Deemed
369,"Chettinad Hospital&RI,Kanchipuram",Tamil Nadu,Open,100001 - 150000,MBBS,DEEMED PS,"₹24,50,000",-,4,Deemed
370,"Amrita School of Med, Kochi",Kerala,Open,100001 - 150000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
371,"GITAM IMS, Vizag",Andhra Pradesh,Open,100001 - 150000,MBBS,DEEMED PS,"₹25,37,000",-,4,Deemed
372,"SDU Medical College, Kolar",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,"₹17,60,000",-,4,Deemed
373,"JR Medical Collegeege& Hospital, Avanampattu",Tamil Nadu,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
374,"JN Medical Collegeege, Meghe, Wardha",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹20,75,000",-,4,Deemed
375,"MMIMS, Mullana, Ambala",Haryana,Open,100001 - 150000,MBBS,DEEMED PS,"₹18,00,000",-,4,Deemed
376,"MGM Medical College, Nerul",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
377,"DY Patil, Kolhapur",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,10,000",-,4,Deemed
378,Mahatma Gandhi Mission Vashi,Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
379,"Krishna IMS, Karad",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,00,000",-,4,Deemed
380,"BVDU, Pune",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,60,000",-,4,Deemed
381,"SBKS, Vadadora",Gujarat,Open,100001 - 150000,MBBS,JAIN MIN,"₹18,75,000",-,4,Deemed
382,Amrita School of Med. Faridabad,Haryana,Open,100001 - 150000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
383,"MGM Medical College, Aurangabad",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
384,"Shri BM Patil, Vijayapura",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
385,"DY Patil, Pimpri, Pune",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹26,50,000",-,4,Deemed
386,"Meenakshi Medical College, Enathur",Tamil Nadu,Open,100001 - 150000,MBBS,DEEMED PS,"₹19,50,000",-,4,Deemed
387,"DY Patil, Kolhapur",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,10,000",-,4,Deemed
388,"Amrita School of Med, Kochi",Kerala,Open,100001 - 150000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
389,"JN Medical College, Belgaum",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,"₹19,20,000",-,4,Deemed
390,"DY Patil, Navi Mumbai",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,10,000",-,4,Deemed
391,"KS Hegde, Mangalore",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,"₹17,50,000",-,4,Deemed
392,"DY Patil, Kolhapur",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,10,000",-,4,Deemed
393,Mahatma Gandhi Mission Vashi,Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹21,00,000",-,4,Deemed
394,"Shri BM Patil, Vijayapura",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
395,"IMS & SH, Campus II, Phulnakhara",Odisha,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
396,"Siddhartha Medical College, Tumkur",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,"₹17,75,000",-,4,Deemed
397,"Graphic Era IMS, Dehradun",Uttarakhand,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
398,"Amrita School of Med, Kochi",Kerala,Open,100001 - 150000,MBBS,DEEMED PS,"₹25,00,000",-,4,Deemed
399,"Krishna IMS, Karad",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,00,000",-,4,Deemed
400,"Datta Meghe Medical College, Nagpur",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹22,00,000",-,4,Deemed
401,"Santosh Medical College, Ghaziabad",Uttar Pradesh,Open,100001 - 150000,MBBS,DEEMED PS,"₹24,00,000",-,4,Deemed
402,"Malla Reddy(Women), Hyderabad",Telangana,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
403,"MMIMS, Mullana, Ambala",Haryana,Open,100001 - 150000,MBBS,DEEMED PS,"₹18,00,000",-,4,Deemed
404,"BVDU, Sangli",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹22,10,000",-,4,Deemed
405,"ACS Medical College, Chennai",Tamil Nadu,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,00,000",-,4,Deemed
406,"DY Patil, Kolhapur",Maharashtra,Open,100001 - 150000,MBBS,DEEMED PS,"₹23,10,000",-,4,Deemed
407,"Shri BM Patil, Vijayapura",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,-,-,4,Deemed
408,"Chettinad Hospital&RI,Kanchipuram",Tamil Nadu,Open,100001 - 150000,MBBS,DEEMED PS,"₹24,50,000",-,4,Deemed
409,"JR Medical Collegeege& Hospital, Avanampattu",Tamil Nadu,Open,100001 - 150000,MBBS,DEEMED PS,,-,4,Deemed
410,"Siddhartha Medical College, Tumkur",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,,-,4,Deemed
411,"Siddhartha Medical College, Tumkur",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,,-,4,Deemed
412,"Sri Siddhartha IMS, T. Begur",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,,-,4,Deemed
413,"Rajeshwari, Bangalore",Karnataka,Open,100001 - 150000,MBBS,DEEMED PS,,-,4,Deemed
414,"MMIMS, Mullana, Ambala",Haryana,Open,100001 - 150000,MBBS,DEEMED PS,,-,4,Deemed
415,"Malla Reddy IMS, Hyderabad",Telangana,Open,100001 - 150000,MBBS,DEEMED PS,,-,4,Deemed
